sep=;
Date;High price;Low price;Closing price;Average price;Total volume;Turnover
2026-04-10;"3,127.49";"3,082.02";"3,109.90";;1;
2026-04-09;"3,079.31";"3,050.62";"3,079.31";;1;
2026-04-08;"3,103.39";"3,073.97";"3,094.16";;1;
2026-04-07;"3,014.17";"2,955.18";"2,967.92";;1;
2026-04-02;"2,973.50";"2,945.76";"2,965.69";;1;
2026-04-01;"3,013.67";"2,979.27";"3,006.37";;1;
2026-03-31;"2,941.50";"2,891.16";"2,929.33";;1;
2026-03-30;"2,902.29";"2,844.76";"2,890.29";;1;
2026-03-27;"2,889.26";"2,845.20";"2,863.92";;1;
2026-03-26;"2,918.09";"2,882.92";"2,889.81";;1;
2026-03-25;"2,948.30";"2,918.29";"2,943.35";;1;
2026-03-24;"2,908.35";"2,856.61";"2,908.35";;1;
2026-03-23;"2,940.03";"2,783.90";"2,892.19";;1;
2026-03-20;"2,942.41";"2,863.79";"2,864.69";;1;
2026-03-19;"2,967.90";"2,903.95";"2,908.97";;1;
2026-03-18;"3,064.95";"3,000.67";"3,015.27";;1;
2026-03-17;"3,048.38";"3,014.94";"3,023.59";;1;
2026-03-16;"3,043.24";"3,001.81";"3,027.73";;1;
2026-03-13;"3,075.57";"3,016.32";"3,018.72";;1;
2026-03-12;"3,083.42";"3,037.01";"3,063.09";;1;
2026-03-11;"3,075.02";"3,036.06";"3,058.96";;1;
2026-03-10;"3,099.44";"3,060.49";"3,082.61";;1;
2026-03-09;"3,001.71";"2,942.84";"2,992.86";;1;
2026-03-06;"3,101.92";"3,011.16";"3,038.55";;1;
2026-03-05;"3,139.32";"3,076.41";"3,077.21";;1;
2026-03-04;"3,137.63";"3,080.34";"3,118.01";;1;
2026-03-03;"3,125.30";"3,053.87";"3,082.97";;1;
2026-03-02;"3,183.38";"3,146.97";"3,168.39";;1;
2026-02-27;"3,230.07";"3,207.32";"3,222.75";;1;
2026-02-26;"3,225.96";"3,196.98";"3,205.28";;1;
2026-02-25;"3,215.53";"3,194.70";"3,195.57";;1;
2026-02-24;"3,200.32";"3,163.95";"3,190.87";;1;
2026-02-23;"3,184.19";"3,161.98";"3,166.65";;1;
2026-02-20;"3,191.47";"3,154.37";"3,180.46";;1;
2026-02-19;"3,164.24";"3,148.69";"3,157.96";;1;
2026-02-18;"3,171.48";"3,135.19";"3,166.11";;1;
2026-02-17;"3,132.75";"3,098.92";"3,130.12";;1;
2026-02-16;"3,136.40";"3,119.87";"3,121.80";;1;
2026-02-13;"3,124.05";"3,095.60";"3,119.76";;1;
2026-02-12;"3,163.12";"3,123.17";"3,123.65";;1;
2026-02-11;"3,168.91";"3,123.33";"3,145.48";;1;
2026-02-10;"3,153.08";"3,134.95";"3,136.54";;1;
2026-02-09;"3,139.58";"3,112.64";"3,136.56";;1;
2026-02-06;"3,126.35";"3,075.80";"3,120.45";;1;
2026-02-05;"3,121.09";"3,071.83";"3,089.67";;1;
2026-02-04;"3,144.10";"3,088.89";"3,117.93";;1;
2026-02-03;"3,100.66";"3,066.04";"3,087.35";;1;
2026-02-02;"3,073.27";"2,990.98";"3,066.86";;1;
2026-01-30;"3,041.46";"3,019.58";"3,026.57";;1;
2026-01-29;"3,068.55";"3,026.02";"3,031.39";;1;
2026-01-28;"3,058.87";"3,023.85";"3,027.47";;1;
2026-01-27;"3,044.59";"3,023.02";"3,043.95";;1;
2026-01-26;"3,032.10";"3,002.34";"3,024.15";;1;
2026-01-23;"3,013.63";"2,993.45";"3,013.63";;1;
2026-01-22;"3,028.38";"3,002.60";"3,003.06";;1;
2026-01-21;"2,988.03";"2,947.96";"2,988.02";;1;
2026-01-20;"2,976.37";"2,940.48";"2,976.37";;1;
2026-01-19;"3,001.17";"2,973.82";"2,984.58";;1;
2026-01-16;"3,039.23";"3,020.40";"3,039.09";;1;
2026-01-15;"3,038.74";"3,006.27";"3,036.64";;1;
2026-01-14;"3,001.90";"2,973.83";"2,983.91";;1;
2026-01-13;"2,989.96";"2,966.30";"2,983.90";;1;
2026-01-12;"2,992.72";"2,968.74";"2,984.21";;1;
